,Unnamed: 0,Name,Category,total_revenue2018,total_revenue2019,total_revenue2020,operating_income2018,operating_income2019,operating_income2020,net_income2018,net_income2019,net_income2020,diluted_EPS2018,diluted_EPS2019,diluted_EPS2020,EBITDA2018,EBITDA2019,EBITDA2020,total_assets2018,total_assets2019,total_assets2020,total_liability2018,total_liability2019,total_liability2020,total_equity2018,total_equity2019,total_equity2020,total_liability_shareholders2018,total_liability_shareholders2019,total_liability_shareholders2020,total_debt2018,total_debt2019,total_debt2020,book_value2018,book_value2019,book_value2020,cash_operating2018,cash_operating2019,cash_operating2020,cash_investing2018,cash_investing2019,cash_investing2020,cash_financing2018,cash_financing2019,cash_financing2020,free_cash_flow2018,free_cash_flow2019,free_cash_flow2020,price_to_earning2018,price_to_earning2019,price_to_earning2020,price_to_sales2018,price_to_sales2019,price_to_sales2020,price_to_cash_flow2018,price_to_cash_flow2019,price_to_cash_flow2020,price_to_book2018,price_to_book2019,price_to_book2020,entreprise_value2018,entreprise_value2019,entreprise_value2020,entreprise_value_EBITDA2018,entreprise_value_EBITDA2019,entreprise_value_EBITDA2020,return_asset2018,return_asset2019,return_asset2020,return_equity2018,return_equity2019,return_equity2020,return_capital2018,return_capital2019,return_capital2020,gross_margin2018,gross_margin2019,gross_margin2020,operating_margin2018,operating_margin2019,operating_margin2020,EBITDA_margin2018,EBITDA_margin2019,EBITDA_margin2020,net_margin2018,net_margin2019,net_margin2020,quick_ratio2018,quick_ratio2019,quick_ratio2020,current_ratio2018,current_ratio2019,current_ratio2020,inventory_turnover2018,inventory_turnover2019,inventory_turnover2020,asset_turnover2018,asset_turnover2019,asset_turnover2020,debt_assets2018,debt_assets2019,debt_assets2020,debt_equity2018,debt_equity2019,debt_equity2020,long_term_debt2018,long_term_debt2019,long_term_debt2020
0,0,ACRS,PharmaO,6.15M,4.23M,6.48M,83.51M,90.83M,48.52M,132.74M,161.35M,51.02M,4.03,3.9,4.03,82.19M,89.25M,47.20M,275.57M,98.30M,70.78M,60.44M,28.39M,33.13M,215.12M,69.91M,37.65M,275.57M,98.30M,70.78M,30.06M,4.21M,14.15M,5.22,1.69,0.83,100.81M,96.44M,38.63M,9.37M,105.68M,6.39M,128.26M,30.32M,18.37M,102.17M,98.06M,39.09M,,,,39.54,18.48,42.46,,,,1.42,1.12,7.75,105.29M,7.29M,235.25M,,,,29.79,60.74,60.51,38.17,79.67,95.12,33.51,71.29,82.06,29.62,4.07,20.81,1.36K,2.15K,748.52,1.34K,2.11K,728.09,1.33K,2.69K,789.17,6.56,3.74,3.87,6.56,3.74,3.87,17.32,10.25,,0.02,0.02,0.08,0.11,0.04,0.2,0.14,0.06,0.38,0.11,0.04,0.19
1,1,ACRX,PharmaO,2.15M,2.29M,5.42M,35.73M,54.20M,40.46M,47.15M,53.24M,40.38M,0.81,0.67,0.81,35.15M,52.54M,38.61M,120.53M,91.36M,66.30M,116.28M,132.77M,122.05M,4.25M,41.42M,55.75M,120.53M,91.36M,66.30M,105.67M,121.79M,114.07M,0.05,0.52,0.56,29.07M,50.48M,37.62M,10.88M,36.56M,34.14M,75.03M,13.75M,16.07M,29.89M,53.95M,39.47M,,,,62.73,72.99,19.52,,,,42.78,,,134.88M,222.73M,176.90M,,,,48.09,50.25,51.23,,,,59.4,60.73,65.77,84.84,197.34,11.37,1.66K,2.37K,747.1,1.63K,2.30K,712.89,2.19K,2.33K,745.55,6.73,5.02,2.56,6.78,5.27,2.66,4.39,3.28,2.45,0.02,0.02,0.07,0.88,1.33,1.72,24.85,2.94,2.05,0.8,1.27,1.57
2,2,ACST,PharmaO,0,0,196.00K,34.11M,24.75M,10.84M,39.37M,25.51M,19.68M,0.73,0.3,0.73,31.78M,22.43M,9.92M,36.90M,22.85M,62.46M,25.85M,9.86M,6.80M,11.04M,12.99M,55.66M,36.90M,22.85M,62.46M,1.36M,147.00K,86.00K,0.14,0.14,0.27,24.79M,22.94M,14.32M,9.44M,8.14M,9.86M,45.69M,13.18M,59.49M,25.32M,23.26M,14.39M,,,,,,363.14,,,,7.22,2.63,2.25,30.98M,18.01M,10.53M,,,,106.69,86.29,46.13,356.41,217.64,57.33,356.41,216.98,57.27,,,410.2,,,5.53K,,,5.06K,,,10.04K,2.04,2.16,39.5,2.04,2.16,39.5,,,,0,0,0,0.04,0.01,0,0.12,0.01,0,0,0,0
3,3,ADMS,PharmaO,34.05M,54.64M,74.46M,115.02M,92.23M,44.16M,131.00M,105.19M,57.40M,4.87,3.8,4.87,113.56M,91.02M,43.31M,234.81M,162.16M,120.03M,144.93M,163.05M,170.00M,89.89M,893.00K,49.98M,234.81M,162.16M,120.03M,119.12M,137.66M,138.27M,3.28,0.03,1.73,104.22M,73.14M,37.27M,69.34M,88.86M,54.94M,138.85M,6.55M,11.78M,105.29M,73.16M,37.27M,,,,6.74,1.92,1.65,,,,2.61,,,138.36M,110.34M,177.57M,,,,62.23,52.99,40.68,167.94,236.39,,69.66,61.8,53.19,93.85,95.48,97.26,337.85,168.81,59.31,333.56,166.59,58.17,384.77,192.52,77.09,9.2,5.38,3,9.41,5.58,3.2,0.61,0.48,0.32,0.16,0.28,0.53,0.51,0.85,1.15,1.33,154.15,2.77,0.5,0.83,1.11
4,4,AERI,PharmaO,24.18M,69.89M,83.14M,209.74M,187.49M,155.69M,232.57M,199.58M,183.10M,5.58,4.39,5.58,207.30M,182.35M,149.32M,285.04M,452.61M,402.05M,57.24M,285.66M,378.08M,227.81M,166.95M,23.97M,285.04M,452.61M,402.05M,200.00K,206.25M,225.50M,5.01,3.59,0.51,152.58M,145.75M,58.68M,20.79M,183.25M,73.18M,137.04M,270.12M,6.87M,183.89M,155.71M,61.78M,,,,62.2,15.71,7.46,,,,7.21,6.73,26.39,1.30B,995.04M,605.21M,,,,80.85,54.11,42.85,127.99,101.12,191.81,95.46,67.03,59.81,87.25,89.41,69.53,867.38,268.27,187.27,857.28,260.92,179.61,961.78,285.57,220.24,4.14,4.25,2.92,4.34,4.5,3.18,0.61,0.48,1.05,0.08,0.19,0.19,0,0.46,0.56,0,1.24,9.41,0,0.44,0.55
5,5,AGRX,PharmaO,0,0,749.00K,18.52M,18.86M,49.05M,19.78M,18.61M,51.85M,0.58,0.38,0.58,18.49M,18.70M,48.78M,22.39M,49.54M,73.06M,2.22M,3.79M,23.73M,20.17M,45.74M,49.33M,22.39M,49.54M,73.06M,0,172.00K,16.52M,0.59,0.66,0.56,16.89M,15.69M,47.31M,318.00K,98.00K,40.69M,10.89M,42.41M,67.98M,17.21M,15.79M,47.66M,,,,,,324.49,,,,0.98,3.82,5.09,11.91M,89.27M,205.09M,,,,54.2,51.73,84.59,70.02,56.45,109.08,70.02,56.45,93.05,,,25.5,,,6.55K,,,6.51K,,,6.92K,3.81,9.31,7.72,3.81,9.31,7.72,,,,0,0,0.01,0,0,0.23,0,0,0.33,0,0,0.22
6,6,ALBO,PharmaO,12.74M,9.64M,8.31M,37.89M,61.11M,110.92M,46.11M,62.72M,107.63M,3.94,5.04,3.94,37.84M,60.98M,110.72M,185.47M,165.07M,285.61M,62.83M,71.91M,104.38M,122.64M,93.16M,181.23M,185.47M,165.07M,285.61M,49.97M,59.89M,82.42M,10.25,7.31,9.49,26.80M,52.92M,101.03M,47.00K,540.00K,78.00K,139.18M,23.50M,220.28M,26.86M,53.46M,101.11M,,,,22.53,32.81,72.16,,,,2.39,3.48,3.95,173.15M,244.22M,430.67M,,,,35.65,35.78,47.77,49.08,58.13,78.45,38.77,39.36,52.97,,,,297.41,634.21,1.34K,297.04,632.89,1.33K,361.94,650.86,1.30K,13.07,7.49,10.36,13.07,7.49,10.36,,,,0.1,0.05,0.04,0.27,0.36,0.29,0.41,0.64,0.45,0.27,0.32,0.28
7,7,AMPE,PharmaO,0,0,0,11.18M,18.58M,15.83M,33.99M,13.63M,15.89M,0.46,0.1,0.46,9.90M,17.30M,14.66M,14.03M,14.00M,22.88M,8.79M,7.56M,5.37M,5.24M,6.44M,17.51M,14.03M,14.00M,22.88M,0,1.47M,1.21M,0.05,0.04,0.09,12.14M,15.31M,14.65M,564.28K,22.00K,63.00K,12.08M,14.28M,25.52M,12.70M,15.34M,14.71M,0.85,,,,,,,,,8.36,14.36,17.56,21.38M,71.08M,258.69M,,,,231.63,97.25,86.2,,233.41,132.7,,211.5,121.84,,,,,,,,,,,,,5.78,1.93,10.08,5.78,1.93,10.08,,,,0,0,0,0,0.1,0.05,0,0.23,0.07,0,0.09,0.04
8,8,AMPH,PharmaO,294.67M,322.36M,349.85M,8.62M,39.00K,11.19M,5.74M,48.94M,1.40M,0.12,0.98,0.12,7.89M,21.08M,36.37M,513.56M,586.97M,631.24M,149.20M,159.44M,182.51M,364.36M,427.53M,448.72M,513.56M,586.97M,631.24M,50.21M,66.63M,67.27M,7.13,8.19,8.47,38.19M,44.38M,60.86M,42.18M,50.53M,36.41M,25.01M,6.40M,5.84M,8.62M,2.82M,27.01M,,19.67,703.15,3.13,2.99,2.82,24.17,21.69,16.23,2.79,2.36,2.37,912.08M,985.98M,991.89M,115.56,45.84,26.7,1.19,8.89,0.23,1.71,13.71,0.36,1.55,12.21,0.31,34.5,38.22,38.1,2.93,0.01,3.2,2.68,6.54,10.4,1.95,15.18,0.4,1.41,1.61,1.63,2.06,2.84,2.49,2.9,2.22,2.09,0.61,0.59,0.57,0.1,0.11,0.11,0.14,0.16,0.15,0.06,0.09,0.08
9,9,AMRN,PharmaO,228.83M,431.53M,618.84M,108.04M,24.38M,19.81M,116.25M,22.74M,18.14M,0.39,0.07,0.39,107.37M,23.52M,17.75M,385.71M,882.21M,966.02M,233.38M,273.95M,338.52M,152.33M,608.26M,627.50M,385.71M,882.21M,966.02M,80.35M,59.93M,9.80M,0.4,1.63,1.6,94.54M,9.40M,21.92M,57.90K,2.49M,379.90M,270.79M,411.31M,59.37M,94.60M,11.89M,22.17M,,,,17.68,17.02,3.02,,,,33.99,13.17,3.06,3.90B,6.78B,1.37B,,,,42.35,3.59,1.96,266.53,5.98,2.94,99.71,5.57,2.89,75.91,77.46,78.26,47.22,5.65,3.2,46.92,5.45,2.87,50.8,5.27,2.93,2.04,3.21,2.25,2.4,3.53,2.86,1.25,1.45,1.01,0.83,0.68,0.67,0.21,0.07,0.01,0.53,0.1,0.02,0.12,0.01,0.01
10,10,ANIK,PharmaO,105.56M,114.61M,130.46M,21.75M,34.65M,7.93M,18.72M,27.19M,23.98M,1.27,1.89,1.27,27.66M,41.82M,7.07M,286.20M,342.24M,381.29M,22.59M,53.86M,108.89M,263.61M,288.38M,272.40M,286.20M,342.24M,381.29M,0,22.51M,22.46M,18.55,20.16,19.01,34.92M,38.07M,14.50M,50.26M,39.69M,71.26M,28.90M,9.21M,5.21M,30.26M,35.24M,12.88M,26.37,27.41,,4.68,6.5,4.93,14.14,19.58,44.38,1.81,2.57,2.38,334.68M,582.86M,567.84M,12.1,13.4,77.2,6.53,8.65,6.63,7.1,9.85,8.55,7.1,9.49,7.95,70.37,74.92,52.91,20.6,30.23,6.08,26.2,36.49,5.42,17.74,23.73,18.38,16.09,13.04,3.56,17.98,14.39,4.81,1.44,1.33,1.8,0.37,0.36,0.36,0,0.07,0.06,0,0.08,0.08,0,0.06,0.05
11,11,ANIP,PharmaO,201.58M,206.55M,208.47M,36.69M,16.43M,15.57M,15.34M,6.00M,22.55M,1.3,0.5,1.3,70.44M,61.04M,29.07M,430.60M,463.84M,468.78M,233.34M,251.05M,273.08M,197.26M,212.79M,195.70M,430.60M,463.84M,468.78M,183.01M,186.24M,185.99M,16.63,17.59,15.83,65.50M,45.63M,15.27M,27.38M,27.55M,68.32M,26.24M,1.25M,1.44M,59.76M,39.00M,9.13M,34.55,123.81,,2.63,3.59,1.67,8.09,16.27,22.76,2.71,3.51,1.83,669.98M,866.41M,525.56M,9.51,14.19,18.07,3.64,1.34,4.84,8.25,2.92,11.04,4.81,1.84,5.96,47.03,50.05,36.78,18.2,7.95,7.47,34.94,29.55,13.94,7.61,2.9,10.82,0.68,2.26,1.39,0.92,3.04,2.16,2.73,2.33,2.42,0.48,0.46,0.45,0.43,0.4,0.4,0.93,0.88,0.95,0.16,0.38,0.37
12,12,ARGX,PharmaO,25.34M,78.10M,41.52M,101.27M,209.03M,490.66M,78.62M,182.40M,602.96M,2.35,4.72,2.35,100.69M,206.60M,486.75M,661.26M,1.61B,2.27B,45.80M,429.46M,603.60M,615.47M,1.18B,1.67B,661.26M,1.61B,2.27B,0,7.31M,9.63M,17.11,27.58,35.09,61.90M,156.75M,386.78M,128.49M,839.22M,345.63M,288.65M,737.99M,852.58M,62.63M,154.96M,387.86M,,,,126.68,79.37,321.62,,39.55,,5.62,5.82,8.38,2.56B,4.71B,11.37B,,,,14.21,16.07,31.07,15.27,20.32,42.33,15.27,20.27,42.16,,,,399.6,267.63,1.18K,397.3,264.52,1.17K,310.22,233.53,1.45K,14.29,8.58,6.19,14.29,8.58,6.26,,,,0.05,0.07,0.02,0,0,0,0,0.01,0.01,0,0,0
13,13,ASMB,PharmaO,14.80M,15.96M,79.11M,92.73M,100.61M,64.78M,90.75M,97.63M,62.15M,3.98,3.72,3.98,92.09M,100.12M,64.08M,268.05M,347.89M,290.51M,57.39M,74.67M,49.93M,210.65M,273.22M,240.58M,268.05M,347.89M,290.51M,0,12.27M,10.13M,8.26,8.39,7.07,64.96M,79.80M,58.44M,135.40M,50.32M,68.07M,159.79M,135.38M,3.09M,65.30M,81.35M,58.91M,,,,34.84,33.66,2.71,,,,2.74,2.44,0.86,297.69M,275.48M,8.05M,,,,41.5,31.7,19.47,56.06,40.36,24.19,56.06,39.61,23.47,,,,626.42,630.29,81.89,622.08,627.19,81.01,613.02,611.63,78.57,12.05,11.57,9.19,12.05,11.57,9.19,,,,0.07,0.05,0.25,0,0.04,0.03,0,0.04,0.04,0,0.03,0.02
14,14,AVTX,PharmaO,7.03M,6.75M,6.70M,14.70M,18.99M,47.29M,41.71M,24.04M,63.50M,1.2,0.47,1.2,12.85M,17.54M,45.45M,70.25M,36.11M,43.76M,49.34M,15.11M,19.19M,20.91M,21.00M,24.56M,70.25M,36.11M,43.76M,0,1.27M,3.46M,0.51,0.47,0.33,3.13M,19.26M,40.54M,865.46K,443.00K,11.13M,10.40M,12.69M,44.78M,3.69M,19.52M,40.60M,,,,15.98,34.24,26.28,,,,6.3,11.4,8.06,101.66M,221.13M,160.57M,,,,52.57,30.57,161.23,176.64,77.66,282.65,176.64,56.75,259.05,27.59,63.08,69.53,209.21,281.37,706.02,182.87,259.77,678.51,525.46,241.04,961.15,0.82,1.46,1.71,0.84,1.46,1.71,16.01,4.4,166.84,0.1,0.13,0.17,0,0.04,0.08,0,0.06,0.14,0,0.03,0.07
15,15,AXSM,PharmaO,0,0,0,32.85M,67.25M,99.14M,30.97M,68.35M,102.90M,1.15,2.01,1.15,32.80M,67.21M,99.06M,15.38M,220.55M,186.13M,14.44M,41.83M,72.34M,937.92K,178.72M,113.79M,15.38M,220.55M,186.13M,6.91M,19.93M,50.12M,0.03,4.84,3.04,30.05M,46.38M,78.46M,32.70K,16.12K,45.89K,10.03M,252.39M,42.41M,30.09M,46.39M,78.50M,,,,,,,,,,90.47,21.36,26.76,68.75M,3.32B,2.90B,,,,121.59,57.94,50.6,350.78,76.08,70.36,221.68,68.14,57.37,,,,,,,,,,,,,1.41,9,7.85,1.41,9,7.85,,,,0,0,0,0.45,0.09,0.27,7.37,0.11,0.44,0.24,0.08,0.26
16,16,BDSI,PharmaO,55.64M,111.39M,156.47M,23.65M,3.74M,32.98M,33.87M,15.30M,25.71M,0.73,0.18,0.73,17.75M,12.56M,40.50M,108.53M,182.91M,239.89M,78.79M,113.14M,131.66M,29.74M,69.76M,108.23M,108.53M,182.91M,239.89M,51.65M,59.39M,78.99M,0.42,0.73,1.07,24.56M,11.07M,24.98M,2.06M,30.76M,13.00K,49.25M,39.76M,22.73M,24.68M,10.99M,24.97M,,,17.16,4.2,4.72,2.82,,47.5,17.66,8.81,8.71,3.93,241.54M,521.41M,408.67M,,41.44,10.08,34.45,10.5,12.16,175.39,30.76,28.89,49.11,14.56,16.28,71.63,80.62,79.78,42.5,3.35,21.08,31.9,11.28,25.88,60.87,13.74,16.43,2.82,1.97,3.11,3.07,2.18,3.44,2.75,2.58,2.2,0.57,0.76,0.74,0.48,0.32,0.33,1.74,0.85,0.73,0.48,0.32,0.33
